step,system,utilization,queue,in_lot,assigned_total,rejected_total,congestion,is_peak
110,Proposed,0.0,0,0,120,100,0.0,0
111,Proposed,0.0,0,0,120,100,0.0,0
112,Proposed,0.0,0,0,120,100,0.0,0
113,Proposed,0.0,0,0,120,100,0.0,0
114,Proposed,0.0,0,0,120,100,0.0,0
115,Proposed,0.0,0,0,120,100,0.0,0
116,Proposed,0.0,0,0,120,100,0.0,0
117,Proposed,0.0,0,0,120,100,0.0,0
118,Proposed,0.0,0,0,120,100,0.0,0
119,Proposed,0.0,0,0,120,100,0.0,0
120,Proposed,0.0,0,0,120,100,0.0,0
121,Proposed,0.0,0,0,120,100,0.0,0
122,Proposed,0.0,0,0,120,100,0.0,0
123,Proposed,0.0,0,0,120,100,0.0,0
124,Proposed,0.0,0,0,120,100,0.0,0
125,Proposed,0.0,0,0,120,100,0.0,0
126,Proposed,0.0,0,0,120,100,0.0,0
127,Proposed,0.0,0,0,120,100,0.0,0
128,Proposed,0.0,0,0,120,100,0.0,0
129,Proposed,0.0,0,0,120,100,0.0,0
130,Proposed,0.0,0,0,120,100,0.0,0
131,Proposed,0.0,0,0,120,100,0.0,0
132,Proposed,0.0,0,0,120,100,0.0,0
133,Proposed,0.0,0,0,120,100,0.0,0
134,Proposed,0.0,0,0,120,100,0.0,0
135,Proposed,0.0,0,0,120,100,0.0,0
136,Proposed,0.0,0,0,120,100,0.0,0
137,Proposed,0.0,0,0,120,100,0.0,0
138,Proposed,0.0,0,0,120,100,0.0,0
139,Proposed,0.0,0,0,120,100,0.0,0
140,Proposed,0.0,0,0,120,100,0.0,0
141,Proposed,0.0,0,0,120,100,0.0,0
142,Proposed,0.0,0,0,120,100,0.0,0
143,Proposed,0.0,0,0,120,100,0.0,0
144,Proposed,0.0,0,0,120,100,0.0,0
145,Proposed,0.0,0,0,120,100,0.0,0
146,Proposed,0.0,0,0,120,100,0.0,0
147,Proposed,0.0,0,0,120,100,0.0,0
148,Proposed,0.0,0,0,120,100,0.0,0
149,Proposed,0.0,0,0,120,100,0.0,0
0,FCFS,0.062,0,2,,,,0
1,FCFS,0.125,1,4,,,,0
2,FCFS,0.188,0,6,,,,0
3,FCFS,0.25,1,8,,,,0
4,FCFS,0.312,2,10,,,,0
5,FCFS,0.375,3,12,,,,0
6,FCFS,0.438,4,14,,,,0
7,FCFS,0.5,4,16,,,,0
8,FCFS,0.562,6,18,,,,0
9,FCFS,0.625,5,20,,,,0
10,FCFS,0.656,6,21,,,,0
11,FCFS,0.719,7,23,,,,0
12,FCFS,0.781,8,25,,,,0
13,FCFS,0.75,9,24,,,,0
14,FCFS,0.781,10,25,,,,0
15,FCFS,0.812,11,26,,,,0
16,FCFS,0.844,13,27,,,,0
17,FCFS,0.906,11,29,,,,0
18,FCFS,0.938,12,30,,,,0
19,FCFS,1.0,13,32,,,,0
20,FCFS,1.0,16,32,,,,1
21,FCFS,1.0,19,32,,,,1
22,FCFS,1.0,22,32,,,,1
23,FCFS,1.0,25,32,,,,1
24,FCFS,1.0,26,32,,,,1
25,FCFS,1.0,26,32,,,,1
26,FCFS,1.0,26,32,,,,1
27,FCFS,0.969,26,31,,,,1
28,FCFS,0.969,26,31,,,,1
29,FCFS,1.0,26,32,,,,1
30,FCFS,1.0,25,32,,,,1
31,FCFS,1.0,25,32,,,,1
32,FCFS,1.0,26,32,,,,1
33,FCFS,1.0,26,32,,,,1
34,FCFS,1.0,26,32,,,,1
35,FCFS,1.0,26,32,,,,0
36,FCFS,0.969,25,31,,,,0
37,FCFS,1.0,26,32,,,,0
38,FCFS,1.0,26,32,,,,0
39,FCFS,1.0,25,32,,,,0
40,FCFS,0.969,26,31,,,,0
41,FCFS,0.938,26,30,,,,0
42,FCFS,0.906,26,29,,,,0
43,FCFS,0.969,26,31,,,,0
44,FCFS,1.0,25,32,,,,0
45,FCFS,0.969,26,31,,,,0
46,FCFS,0.969,26,31,,,,0
47,FCFS,1.0,26,32,,,,0
48,FCFS,1.0,26,32,,,,0
49,FCFS,1.0,25,32,,,,0
50,FCFS,1.0,23,32,,,,0
51,FCFS,0.969,24,31,,,,0
52,FCFS,0.938,26,30,,,,0
53,FCFS,1.0,26,32,,,,0
54,FCFS,1.0,26,32,,,,0
55,FCFS,1.0,26,32,,,,0
56,FCFS,0.969,24,31,,,,0
57,FCFS,1.0,26,32,,,,0
58,FCFS,1.0,24,32,,,,0
59,FCFS,1.0,24,32,,,,0
60,FCFS,0.969,26,31,,,,0
61,FCFS,1.0,26,32,,,,0
62,FCFS,0.969,26,31,,,,0
63,FCFS,0.938,24,30,,,,0
64,FCFS,1.0,25,32,,,,0
65,FCFS,0.969,26,31,,,,0
66,FCFS,0.969,26,31,,,,0
67,FCFS,0.969,26,31,,,,0
68,FCFS,0.969,26,31,,,,0
69,FCFS,1.0,26,32,,,,0
70,FCFS,0.969,26,31,,,,1
71,FCFS,0.969,26,31,,,,1
72,FCFS,0.969,26,31,,,,1
73,FCFS,1.0,24,32,,,,1
74,FCFS,1.0,22,32,,,,1
75,FCFS,1.0,20,32,,,,1
76,FCFS,1.0,18,32,,,,1
77,FCFS,1.0,16,32,,,,1
78,FCFS,1.0,14,32,,,,1
79,FCFS,0.938,12,30,,,,1
80,FCFS,0.938,10,30,,,,1
81,FCFS,1.0,8,32,,,,1
82,FCFS,1.0,6,32,,,,1
83,FCFS,0.969,4,31,,,,1
84,FCFS,0.969,2,31,,,,1
85,FCFS,1.0,0,32,,,,1
86,FCFS,0.969,0,31,,,,1
87,FCFS,0.906,0,29,,,,1
88,FCFS,0.812,0,26,,,,1
89,FCFS,0.812,0,26,,,,1
90,FCFS,0.75,0,24,,,,0
91,FCFS,0.656,0,21,,,,0
92,FCFS,0.656,0,21,,,,0
93,FCFS,0.656,0,21,,,,0
94,FCFS,0.594,0,19,,,,0
95,FCFS,0.5,0,16,,,,0
96,FCFS,0.5,0,16,,,,0
97,FCFS,0.438,0,14,,,,0
98,FCFS,0.375,0,12,,,,0
99,FCFS,0.344,0,11,,,,0
100,FCFS,0.312,0,10,,,,0
101,FCFS,0.281,0,9,,,,0
102,FCFS,0.25,0,8,,,,0
103,FCFS,0.25,0,8,,,,0
104,FCFS,0.188,0,6,,,,0
105,FCFS,0.188,0,6,,,,0
106,FCFS,0.188,0,6,,,,0
107,FCFS,0.156,0,5,,,,0
108,FCFS,0.156,0,5,,,,0
109,FCFS,0.094,0,3,,,,0
110,FCFS,0.094,0,3,,,,0
111,FCFS,0.094,0,3,,,,0
112,FCFS,0.094,0,3,,,,0
113,FCFS,0.094,0,3,,,,0
114,FCFS,0.094,0,3,,,,0
115,FCFS,0.062,0,2,,,,0
116,FCFS,0.0,0,0,,,,0
117,FCFS,0.0,0,0,,,,0
118,FCFS,0.0,0,0,,,,0
119,FCFS,0.0,0,0,,,,0
120,FCFS,0.0,0,0,,,,0
121,FCFS,0.0,0,0,,,,0
122,FCFS,0.0,0,0,,,,0
123,FCFS,0.0,0,0,,,,0
124,FCFS,0.0,0,0,,,,0
125,FCFS,0.0,0,0,,,,0
126,FCFS,0.0,0,0,,,,0
127,FCFS,0.0,0,0,,,,0
128,FCFS,0.0,0,0,,,,0
129,FCFS,0.0,0,0,,,,0
130,FCFS,0.0,0,0,,,,0
131,FCFS,0.0,0,0,,,,0
132,FCFS,0.0,0,0,,,,0
133,FCFS,0.0,0,0,,,,0
134,FCFS,0.0,0,0,,,,0
135,FCFS,0.0,0,0,,,,0
136,FCFS,0.0,0,0,,,,0
137,FCFS,0.0,0,0,,,,0
138,FCFS,0.0,0,0,,,,0
139,FCFS,0.0,0,0,,,,0
140,FCFS,0.0,0,0,,,,0
141,FCFS,0.0,0,0,,,,0
142,FCFS,0.0,0,0,,,,0
143,FCFS,0.0,0,0,,,,0
144,FCFS,0.0,0,0,,,,0
145,FCFS,0.0,0,0,,,,0
146,FCFS,0.0,0,0,,,,0
147,FCFS,0.0,0,0,,,,0
148,FCFS,0.0,0,0,,,,0
149,FCFS,0.0,0,0,,,,0
